Home Score,Category,Away Score
59,Field Goals Attempted,83
39,Field Goals Made,38
66.1%,Field Goals %,45.8%
36,2-Point Field G. Attempted,42
27,2-Point Field Goals Made,22
75%,2-Point Field Goals %,52.4%
23,3-Point Field G. Attempted,41
12,3-Point Field Goals Made,16
52.2%,3-Point Field Goals %,39%
20,Free Throws Attempted,13
16,Free Throws Made,8
80%,Free Throws %,61.5%
6,Offensive Rebounds,18
28,Defensive Rebounds,13
34,Total Rebounds,31
23,Assists,19
6,Blocks,0
12,Turnovers,7
3,Steals,7
18,Personal Fouls,22
