Home Score,Category,Away Score
60,Field Goals Attempted,68
29,Field Goals Made,31
48.3%,Field Goals %,45.6%
24,2-Point Field G. Attempted,40
16,2-Point Field Goals Made,19
66.7%,2-Point Field Goals %,47.5%
36,3-Point Field G. Attempted,28
13,3-Point Field Goals Made,12
36.1%,3-Point Field Goals %,42.9%
28,Free Throws Attempted,32
23,Free Throws Made,25
82.1%,Free Throws %,78.1%
3,Offensive Rebounds,15
25,Defensive Rebounds,26
28,Total Rebounds,41
18,Assists,22
2,Blocks,0
14,Turnovers,14
7,Steals,10
24,Personal Fouls,23
