Home Score,Category,Away Score
65,Field Goals Attempted,68
35,Field Goals Made,30
53.8%,Field Goals %,44.1%
40,2-Point Field G. Attempted,46
24,2-Point Field Goals Made,26
60%,2-Point Field Goals %,56.5%
25,3-Point Field G. Attempted,22
11,3-Point Field Goals Made,4
44%,3-Point Field Goals %,18.2%
16,Free Throws Attempted,19
16,Free Throws Made,14
100%,Free Throws %,73.7%
6,Offensive Rebounds,10
28,Defensive Rebounds,21
34,Total Rebounds,31
21,Assists,18
4,Blocks,0
13,Turnovers,12
6,Steals,9
21,Personal Fouls,22
