Home Score,Category,Away Score
60,Field Goals Attempted,59
28,Field Goals Made,28
46.7%,Field Goals %,47.5%
35,2-Point Field G. Attempted,25
21,2-Point Field Goals Made,13
60%,2-Point Field Goals %,52%
25,3-Point Field G. Attempted,34
7,3-Point Field Goals Made,15
28%,3-Point Field Goals %,44.1%
27,Free Throws Attempted,27
20,Free Throws Made,20
74.1%,Free Throws %,74.1%
12,Offensive Rebounds,9
20,Defensive Rebounds,18
32,Total Rebounds,27
16,Assists,23
2,Blocks,1
14,Turnovers,10
3,Steals,9
24,Personal Fouls,26
