Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Kamba M.,PAL,16,6,2,32:32,6,8,3,3,3,5,1,1,-6,4,2,3,-,-,-,-,-
Cheatham K.,GRA,15,5,3,29:44,5,12,3,6,2,6,3,3,15,2,3,2,1,2,-,1,-
Van Der Vuurst K.,PAL,15,-,2,22:54,4,10,4,6,-,4,7,8,-7,-,-,4,-,3,-,-,-
Valtonen E.,GRA,14,3,2,24:23,5,9,1,2,4,7,-,-,1,-,3,3,-,-,-,-,-
Pasecniks A.,PAL,13,8,3,32:35,6,8,6,7,-,1,1,2,8,4,4,3,1,2,1,-,-
Felicio C.,GRA,12,7,-,20:41,4,6,4,5,-,1,4,5,4,4,3,4,-,2,-,-,-
Bamforth S.,GRA,11,2,4,22:14,3,8,-,1,3,7,2,2,5,-,2,2,2,1,-,-,-
Costa Martinez L.,GRA,11,1,7,26:11,3,6,-,1,3,5,2,2,13,1,-,2,-,2,-,-,-
Benite V.,PAL,9,2,2,23:28,1,6,1,4,-,2,7,8,-7,1,1,2,-,2,-,-,-
Frankamp C.,PAL,8,1,3,18:02,3,9,3,5,-,4,2,2,-4,-,1,1,1,1,-,-,-
Kramer D.,GRA,8,3,2,20:15,3,6,2,2,1,4,1,4,9,1,2,3,1,-,-,-,-
Pineiro I.,PAL,8,7,2,19:07,3,7,2,4,1,3,1,2,-2,1,6,3,-,1,-,-,-
Tomas P.,GRA,8,-,1,09:49,2,3,1,1,1,2,3,3,3,-,-,1,2,-,-,-,-
Hands J.,PAL,6,1,-,13:42,2,6,-,4,2,2,-,-,-2,-,1,2,1,2,-,1,-
Rousselle J.,GRA,5,-,3,13:42,1,2,-,1,1,1,2,2,-4,-,-,3,-,1,-,-,-
Dime M.,GRA,3,-,-,10:14,1,3,1,3,-,-,1,2,-5,-,-,2,1,-,1,-,-
Ubal A.,PAL,3,1,-,08:57,1,1,-,-,1,1,-,-,-5,-,1,2,-,-,-,-,-
Wiley J.,GRA,3,5,-,19:07,1,3,1,2,-,1,1,2,4,1,4,2,-,-,-,-,-
Ortega C.,PAL,2,4,2,20:50,1,4,1,1,-,3,-,-,-3,1,3,2,-,1,-,-,-
Haarms M.,PAL,1,3,-,07:18,-,-,-,-,-,-,1,4,-17,2,1,2,-,-,1,-,-
Diaz Rodriguez C.,GRA,-,1,-,03:05,-,1,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-
