Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Marcos J.,BAS,18,2,4,26:04,7,10,5,5,2,5,2,2,-4,1,1,2,1,4,-,-,-
Albicy A.,GRC,16,2,2,30:35,5,7,2,3,3,4,3,5,-,1,1,2,2,3,-,-,-
Brussino N.,GRC,16,3,3,30:07,7,15,5,7,2,8,-,-,-,-,3,2,-,2,1,-,-
Birch K.,BAS,14,8,1,23:20,6,7,6,7,-,-,2,3,-5,3,5,2,-,2,2,-,-
Martinez S.,BAS,11,13,-,35:48,5,7,4,4,1,3,-,2,20,2,11,-,-,-,-,-,-
Slaughter A. J.,GRC,11,2,3,14:26,4,7,1,2,3,5,-,-,6,1,1,1,-,-,-,1,-
Djordjevic S.,BAS,10,1,-,11:05,4,8,4,8,-,-,2,2,6,1,-,4,-,-,-,2,-
Pelos P.,GRC,10,2,-,17:41,4,6,2,4,2,2,-,-,2,-,2,2,2,-,-,1,-
Susinskas M.,BAS,10,-,1,24:31,4,8,3,6,1,2,1,2,11,-,-,1,1,-,-,1,-
Colom Q.,BAS,9,3,10,20:27,3,5,2,2,1,3,2,3,16,-,3,1,1,2,-,-,-
Salvo M.,GRC,7,6,-,19:28,2,4,2,3,-,1,3,3,-10,-,6,1,-,1,-,-,-
Fjellerup M.,BAS,6,4,1,21:52,2,4,2,2,-,2,2,2,6,1,3,4,1,2,1,-,-
Vila Martinez E.,BAS,6,1,-,15:29,2,6,-,2,2,4,-,-,-3,-,1,2,-,-,-,1,-
Happ E.,GRC,5,6,5,24:02,2,6,2,6,-,-,1,2,6,3,3,3,1,2,2,-,-
Shurna J.,GRC,4,2,-,22:04,1,7,-,3,1,4,1,2,-9,-,2,2,1,1,-,-,-
Bassas F.,GRC,3,1,1,09:55,1,5,-,-,1,5,-,-,-8,1,-,1,-,1,-,1,-
Kljajic J.,GRC,2,1,1,11:53,-,3,-,2,-,1,2,2,-4,1,-,4,-,-,-,-,-
Lammers B.,GRC,2,2,1,15:58,-,1,-,1,-,-,2,2,-14,-,2,2,-,-,2,-,-
Landesberg S.,GRC,2,1,-,03:51,1,2,1,1,-,1,-,-,-9,-,1,-,-,2,-,-,-
York G.,BAS,2,1,-,14:26,1,6,1,2,-,4,-,-,-6,-,1,4,1,2,-,-,-
Caicedo M.,BAS,-,-,-,01:23,-,1,-,-,-,1,-,-,-8,-,-,-,-,-,-,-,-
Goloman G.,BAS,-,-,1,05:35,-,1,-,1,-,-,-,-,7,-,-,-,-,-,-,-,-
