Home Score,Category,Away Score
62,Field Goals Attempted,68
28,Field Goals Made,30
45.2%,Field Goals %,44.1%
29,2-Point Field G. Attempted,47
20,2-Point Field Goals Made,24
69%,2-Point Field Goals %,51.1%
33,3-Point Field G. Attempted,21
8,3-Point Field Goals Made,6
24.2%,3-Point Field Goals %,28.6%
27,Free Throws Attempted,15
26,Free Throws Made,11
96.3%,Free Throws %,73.3%
13,Offensive Rebounds,10
26,Defensive Rebounds,17
39,Total Rebounds,27
20,Assists,16
1,Blocks,0
10,Turnovers,10
6,Steals,7
23,Personal Fouls,25
