Home Score,Category,Away Score
66,Field Goals Attempted,57
25,Field Goals Made,23
37.9%,Field Goals %,40.4%
32,2-Point Field G. Attempted,34
14,2-Point Field Goals Made,17
43.8%,2-Point Field Goals %,50%
34,3-Point Field G. Attempted,23
11,3-Point Field Goals Made,6
32.4%,3-Point Field Goals %,26.1%
10,Free Throws Attempted,14
7,Free Throws Made,9
70%,Free Throws %,64.3%
10,Offensive Rebounds,9
26,Defensive Rebounds,29
36,Total Rebounds,38
14,Assists,12
2,Blocks,3
15,Turnovers,20
12,Steals,8
18,Personal Fouls,19
