Home Score,Category,Away Score
62,Field Goals Attempted,71
32,Field Goals Made,33
51.6%,Field Goals %,46.5%
29,2-Point Field G. Attempted,46
17,2-Point Field Goals Made,24
58.6%,2-Point Field Goals %,52.2%
33,3-Point Field G. Attempted,25
15,3-Point Field Goals Made,9
45.5%,3-Point Field Goals %,36%
16,Free Throws Attempted,15
13,Free Throws Made,13
81.3%,Free Throws %,86.7%
6,Offensive Rebounds,13
23,Defensive Rebounds,24
29,Total Rebounds,37
14,Assists,18
6,Blocks,1
7,Turnovers,7
6,Steals,3
19,Personal Fouls,19
