Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Iroegbu I.,BAS,25,3,3,28:42,7,13,3,4,4,9,7,9,10,-,3,1,1,3,-,1,-
Marcos J.,BAS,15,4,3,21:07,6,11,4,7,2,4,1,2,14,-,4,1,-,-,-,-,-
Inglis D.,VAL,14,7,-,25:00,7,12,7,10,-,2,-,-,-12,3,4,4,-,2,-,-,-
Ojeleye S.,VAL,14,4,-,18:17,4,11,2,5,2,6,4,4,-4,1,3,-,-,-,-,1,-
Jones C.,VAL,13,1,6,22:31,6,8,5,6,1,2,-,-,-7,-,1,3,-,-,-,-,-
Lopez-Arostegui X.,VAL,13,6,1,24:03,5,10,3,6,2,4,1,2,6,3,3,2,1,1,-,1,-
Pangos K.,VAL,12,1,4,17:50,4,6,-,1,4,5,-,-,-14,-,1,1,-,-,-,-,-
Martinez S.,BAS,10,7,2,30:29,4,8,3,4,1,4,1,1,8,1,6,1,-,1,1,-,-
Birch K.,BAS,8,2,1,27:42,3,4,3,4,-,-,2,2,12,-,2,2,-,1,2,-,-
Chery K.,BAS,8,1,-,11:30,3,6,1,2,2,4,-,-,-11,-,1,4,1,1,-,-,-
Colom Q.,BAS,8,-,3,12:11,2,5,-,1,2,4,2,2,-1,-,-,1,-,1,-,-,-
Pons Y.,BAS,7,3,1,20:06,3,5,2,2,1,3,-,-,-8,1,2,2,1,-,2,-,-
Pradilla J.,VAL,6,7,2,17:14,3,7,3,6,-,1,-,-,12,3,4,1,-,-,-,1,-
Goloman G.,BAS,5,1,1,15:21,2,2,1,1,1,1,-,-,15,-,1,5,1,-,-,-,-
Reuvers N.,VAL,5,-,-,15:51,-,2,-,1,-,1,5,6,-11,-,-,2,1,-,-,-,-
Jovic S.,VAL,3,2,3,16:17,1,3,1,3,-,-,1,1,12,-,2,1,-,2,-,-,-
Anderson J.,VAL,-,1,-,11:10,-,4,-,2,-,2,-,-,-12,-,1,2,-,-,1,2,-
Caicedo M.,BAS,-,1,-,06:24,-,-,-,-,-,-,-,-,-4,-,1,-,1,-,-,-,-
Puerto J.,VAL,-,-,-,00:28,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-
Robertson K.,VAL,-,1,-,15:04,-,3,-,1,-,2,-,-,-2,-,1,2,1,1,-,-,-
Sorolla Menasanch J.,BAS,-,2,-,06:52,-,-,-,-,-,-,-,-,-4,1,1,-,-,-,-,-,-
Susinskas M.,BAS,-,-,-,03:21,-,-,-,-,-,-,-,-,-1,-,-,1,1,-,-,-,-
