Home Score,Category,Away Score
14,Field Goals Attempted,22
6,Field Goals Made,11
42.9%,Field Goals %,50%
11,2-Point Field G. Attempted,8
5,2-Point Field Goals Made,5
45.5%,2-Point Field Goals %,62.5%
3,3-Point Field G. Attempted,14
1,3-Point Field Goals Made,6
33.3%,3-Point Field Goals %,42.9%
15,Free Throws Attempted,6
13,Free Throws Made,4
86.7%,Free Throws %,66.7%
5,Offensive Rebounds,7
7,Defensive Rebounds,5
12,Total Rebounds,12
5,Assists,4
2,Blocks,0
4,Turnovers,3
2,Steals,2
6,Personal Fouls,11
