Home Score,Category,Away Score
58,Field Goals Attempted,71
35,Field Goals Made,33
60.3%,Field Goals %,46.5%
38,2-Point Field G. Attempted,40
28,2-Point Field Goals Made,18
73.7%,2-Point Field Goals %,45%
20,3-Point Field G. Attempted,31
7,3-Point Field Goals Made,15
35%,3-Point Field Goals %,48.4%
30,Free Throws Attempted,22
26,Free Throws Made,15
86.7%,Free Throws %,68.2%
8,Offensive Rebounds,12
27,Defensive Rebounds,17
35,Total Rebounds,29
20,Assists,18
4,Blocks,1
19,Turnovers,15
6,Steals,11
23,Personal Fouls,26
