Home Score,Category,Away Score
18,Field Goals Attempted,22
9,Field Goals Made,9
50%,Field Goals %,40.9%
7,2-Point Field G. Attempted,15
4,2-Point Field Goals Made,7
57.1%,2-Point Field Goals %,46.7%
11,3-Point Field G. Attempted,7
5,3-Point Field Goals Made,2
45.5%,3-Point Field Goals %,28.6%
2,Free Throws Attempted,11
2,Free Throws Made,9
100%,Free Throws %,81.8%
4,Offensive Rebounds,3
6,Defensive Rebounds,3
10,Total Rebounds,6
4,Assists,4
1,Blocks,0
7,Turnovers,1
1,Steals,4
10,Personal Fouls,4
