Home Score,Category,Away Score
63,Field Goals Attempted,74
30,Field Goals Made,31
47.6%,Field Goals %,41.9%
41,2-Point Field G. Attempted,38
21,2-Point Field Goals Made,19
51.2%,2-Point Field Goals %,50%
22,3-Point Field G. Attempted,36
9,3-Point Field Goals Made,12
40.9%,3-Point Field Goals %,33.3%
18,Free Throws Attempted,25
17,Free Throws Made,20
94.4%,Free Throws %,80%
11,Offensive Rebounds,11
30,Defensive Rebounds,20
41,Total Rebounds,31
12,Assists,20
6,Blocks,3
16,Turnovers,7
2,Steals,6
24,Personal Fouls,20
