Home Score,Category,Away Score
65,Field Goals Attempted,63
24,Field Goals Made,26
36.9%,Field Goals %,41.3%
47,2-Point Field G. Attempted,35
21,2-Point Field Goals Made,18
44.7%,2-Point Field Goals %,51.4%
18,3-Point Field G. Attempted,28
3,3-Point Field Goals Made,8
16.7%,3-Point Field Goals %,28.6%
28,Free Throws Attempted,32
24,Free Throws Made,22
85.7%,Free Throws %,68.8%
14,Offensive Rebounds,13
24,Defensive Rebounds,27
38,Total Rebounds,40
12,Assists,15
3,Blocks,3
12,Turnovers,12
9,Steals,7
26,Personal Fouls,22
