Home Score,Category,Away Score
76,Field Goals Attempted,60
40,Field Goals Made,34
52.6%,Field Goals %,56.7%
50,2-Point Field G. Attempted,34
29,2-Point Field Goals Made,22
58%,2-Point Field Goals %,64.7%
26,3-Point Field G. Attempted,26
11,3-Point Field Goals Made,12
42.3%,3-Point Field Goals %,46.2%
29,Free Throws Attempted,28
20,Free Throws Made,21
69%,Free Throws %,75%
12,Offensive Rebounds,4
22,Defensive Rebounds,24
34,Total Rebounds,28
19,Assists,17
3,Blocks,2
7,Turnovers,16
11,Steals,7
22,Personal Fouls,21
