Home Score,Category,Away Score
73,Field Goals Attempted,56
26,Field Goals Made,29
35.6%,Field Goals %,51.8%
42,2-Point Field G. Attempted,37
15,2-Point Field Goals Made,21
35.7%,2-Point Field Goals %,56.8%
31,3-Point Field G. Attempted,19
11,3-Point Field Goals Made,8
35.5%,3-Point Field Goals %,42.1%
16,Free Throws Attempted,20
10,Free Throws Made,18
62.5%,Free Throws %,90%
13,Offensive Rebounds,5
20,Defensive Rebounds,35
33,Total Rebounds,40
15,Assists,15
1,Blocks,6
11,Turnovers,16
9,Steals,7
26,Personal Fouls,14
