Home Score,Category,Away Score
76,Field Goals Attempted,56
36,Field Goals Made,26
47.4%,Field Goals %,46.4%
49,2-Point Field G. Attempted,32
30,2-Point Field Goals Made,19
61.2%,2-Point Field Goals %,59.4%
27,3-Point Field G. Attempted,24
6,3-Point Field Goals Made,7
22.2%,3-Point Field Goals %,29.2%
25,Free Throws Attempted,17
18,Free Throws Made,12
72%,Free Throws %,70.6%
14,Offensive Rebounds,4
25,Defensive Rebounds,25
39,Total Rebounds,29
23,Assists,17
2,Blocks,2
12,Turnovers,25
18,Steals,4
19,Personal Fouls,23
