Home Score,Category,Away Score
69,Field Goals Attempted,55
24,Field Goals Made,26
34.8%,Field Goals %,47.3%
32,2-Point Field G. Attempted,34
12,2-Point Field Goals Made,19
37.5%,2-Point Field Goals %,55.9%
37,3-Point Field G. Attempted,21
12,3-Point Field Goals Made,7
32.4%,3-Point Field Goals %,33.3%
17,Free Throws Attempted,24
10,Free Throws Made,20
58.8%,Free Throws %,83.3%
21,Offensive Rebounds,8
23,Defensive Rebounds,25
44,Total Rebounds,33
16,Assists,10
2,Blocks,1
14,Turnovers,11
7,Steals,9
23,Personal Fouls,15
