Home Score,Category,Away Score
70,Field Goals Attempted,67
29,Field Goals Made,38
41.4%,Field Goals %,56.7%
44,2-Point Field G. Attempted,47
26,2-Point Field Goals Made,27
59.1%,2-Point Field Goals %,57.4%
26,3-Point Field G. Attempted,20
3,3-Point Field Goals Made,11
11.5%,3-Point Field Goals %,55%
23,Free Throws Attempted,13
19,Free Throws Made,10
82.6%,Free Throws %,76.9%
16,Offensive Rebounds,8
22,Defensive Rebounds,26
38,Total Rebounds,34
11,Assists,21
2,Blocks,2
12,Turnovers,10
5,Steals,7
18,Personal Fouls,25
