Home Score,Category,Away Score
60,Field Goals Attempted,63
31,Field Goals Made,26
51.7%,Field Goals %,41.3%
27,2-Point Field G. Attempted,38
14,2-Point Field Goals Made,19
51.9%,2-Point Field Goals %,50%
33,3-Point Field G. Attempted,25
17,3-Point Field Goals Made,7
51.5%,3-Point Field Goals %,28%
16,Free Throws Attempted,11
14,Free Throws Made,10
87.5%,Free Throws %,90.9%
9,Offensive Rebounds,8
28,Defensive Rebounds,21
37,Total Rebounds,29
25,Assists,21
2,Blocks,3
17,Turnovers,15
8,Steals,13
14,Personal Fouls,18
