Home Score,Category,Away Score
84,Field Goals Attempted,68
39,Field Goals Made,35
46.4%,Field Goals %,51.5%
46,2-Point Field G. Attempted,38
28,2-Point Field Goals Made,24
60.9%,2-Point Field Goals %,63.2%
38,3-Point Field G. Attempted,30
11,3-Point Field Goals Made,11
28.9%,3-Point Field Goals %,36.7%
12,Free Throws Attempted,20
9,Free Throws Made,15
75%,Free Throws %,75%
16,Offensive Rebounds,7
26,Defensive Rebounds,29
42,Total Rebounds,36
20,Assists,17
1,Blocks,1
9,Turnovers,17
7,Steals,6
20,Personal Fouls,21
