Home Score,Category,Away Score
64,Field Goals Attempted,72
33,Field Goals Made,34
51.6%,Field Goals %,47.2%
35,2-Point Field G. Attempted,49
24,2-Point Field Goals Made,26
68.6%,2-Point Field Goals %,53.1%
29,3-Point Field G. Attempted,23
9,3-Point Field Goals Made,8
31%,3-Point Field Goals %,34.8%
15,Free Throws Attempted,21
9,Free Throws Made,13
60%,Free Throws %,61.9%
6,Offensive Rebounds,13
27,Defensive Rebounds,22
33,Total Rebounds,35
20,Assists,18
1,Blocks,2
10,Turnovers,8
1,Steals,7
23,Personal Fouls,18
