Home Score,Category,Away Score
69,Field Goals Attempted,49
34,Field Goals Made,28
49.3%,Field Goals %,57.1%
42,2-Point Field G. Attempted,28
23,2-Point Field Goals Made,16
54.8%,2-Point Field Goals %,57.1%
27,3-Point Field G. Attempted,21
11,3-Point Field Goals Made,12
40.7%,3-Point Field Goals %,57.1%
22,Free Throws Attempted,33
13,Free Throws Made,27
59.1%,Free Throws %,81.8%
13,Offensive Rebounds,3
19,Defensive Rebounds,27
32,Total Rebounds,30
24,Assists,26
2,Blocks,4
13,Turnovers,16
5,Steals,6
27,Personal Fouls,24
