Home Score,Category,Away Score
18,Field Goals Attempted,22
13,Field Goals Made,7
72.2%,Field Goals %,31.8%
10,2-Point Field G. Attempted,7
9,2-Point Field Goals Made,2
90%,2-Point Field Goals %,28.6%
8,3-Point Field G. Attempted,15
4,3-Point Field Goals Made,5
50%,3-Point Field Goals %,33.3%
6,Free Throws Attempted,6
5,Free Throws Made,4
83.3%,Free Throws %,66.7%
5,Offensive Rebounds,3
4,Defensive Rebounds,7
9,Total Rebounds,10
10,Assists,5
1,Blocks,0
0,Turnovers,3
11,Steals,0
6,Personal Fouls,5
