Home Score,Category,Away Score
61,Field Goals Attempted,65
26,Field Goals Made,33
42.6%,Field Goals %,50.8%
41,2-Point Field G. Attempted,35
20,2-Point Field Goals Made,18
48.8%,2-Point Field Goals %,51.4%
20,3-Point Field G. Attempted,30
6,3-Point Field Goals Made,15
30%,3-Point Field Goals %,50%
14,Free Throws Attempted,10
10,Free Throws Made,8
71.4%,Free Throws %,80%
6,Offensive Rebounds,7
24,Defensive Rebounds,28
30,Total Rebounds,35
17,Assists,28
3,Blocks,5
9,Turnovers,8
3,Steals,8
16,Personal Fouls,18
