Home Score,Category,Away Score
16,Field Goals Attempted,17
5,Field Goals Made,4
31.3%,Field Goals %,23.5%
10,2-Point Field G. Attempted,9
4,2-Point Field Goals Made,3
40%,2-Point Field Goals %,33.3%
6,3-Point Field G. Attempted,8
1,3-Point Field Goals Made,1
16.7%,3-Point Field Goals %,12.5%
6,Free Throws Attempted,3
4,Free Throws Made,2
66.7%,Free Throws %,66.7%
3,Offensive Rebounds,2
11,Defensive Rebounds,8
14,Total Rebounds,10
5,Assists,3
1,Blocks,3
1,Turnovers,2
1,Steals,1
4,Personal Fouls,7
