Home Score,Category,Away Score
59,Field Goals Attempted,80
30,Field Goals Made,40
50.8%,Field Goals %,50%
38,2-Point Field G. Attempted,54
19,2-Point Field Goals Made,32
50%,2-Point Field Goals %,59.3%
21,3-Point Field G. Attempted,26
11,3-Point Field Goals Made,8
52.4%,3-Point Field Goals %,30.8%
24,Free Throws Attempted,7
20,Free Throws Made,4
83.3%,Free Throws %,57.1%
7,Offensive Rebounds,16
22,Defensive Rebounds,24
29,Total Rebounds,40
22,Assists,25
1,Blocks,3
12,Turnovers,8
6,Steals,8
18,Personal Fouls,23
