Home Score,Category,Away Score
65,Field Goals Attempted,71
35,Field Goals Made,30
53.8%,Field Goals %,42.3%
36,2-Point Field G. Attempted,38
20,2-Point Field Goals Made,19
55.6%,2-Point Field Goals %,50%
29,3-Point Field G. Attempted,33
15,3-Point Field Goals Made,11
51.7%,3-Point Field Goals %,33.3%
17,Free Throws Attempted,11
9,Free Throws Made,8
52.9%,Free Throws %,72.7%
7,Offensive Rebounds,9
31,Defensive Rebounds,23
38,Total Rebounds,32
23,Assists,18
3,Blocks,2
8,Turnovers,6
3,Steals,8
13,Personal Fouls,22
