Home Score,Category,Away Score
70,Field Goals Attempted,73
38,Field Goals Made,31
54.3%,Field Goals %,42.5%
44,2-Point Field G. Attempted,39
25,2-Point Field Goals Made,20
56.8%,2-Point Field Goals %,51.3%
26,3-Point Field G. Attempted,34
13,3-Point Field Goals Made,11
50%,3-Point Field Goals %,32.4%
9,Free Throws Attempted,18
7,Free Throws Made,13
77.8%,Free Throws %,72.2%
9,Offensive Rebounds,12
30,Defensive Rebounds,23
39,Total Rebounds,35
25,Assists,19
3,Blocks,2
11,Turnovers,8
4,Steals,4
23,Personal Fouls,19
