Home Score,Category,Away Score
64,Field Goals Attempted,72
29,Field Goals Made,30
45.3%,Field Goals %,41.7%
31,2-Point Field G. Attempted,49
17,2-Point Field Goals Made,23
54.8%,2-Point Field Goals %,46.9%
33,3-Point Field G. Attempted,23
12,3-Point Field Goals Made,7
36.4%,3-Point Field Goals %,30.4%
14,Free Throws Attempted,25
13,Free Throws Made,17
92.9%,Free Throws %,68%
10,Offensive Rebounds,21
21,Defensive Rebounds,24
31,Total Rebounds,45
16,Assists,13
3,Blocks,3
17,Turnovers,18
11,Steals,10
23,Personal Fouls,22
