Home Score,Category,Away Score
68,Field Goals Attempted,58
39,Field Goals Made,26
57.4%,Field Goals %,44.8%
48,2-Point Field G. Attempted,32
32,2-Point Field Goals Made,19
66.7%,2-Point Field Goals %,59.4%
20,3-Point Field G. Attempted,26
7,3-Point Field Goals Made,7
35%,3-Point Field Goals %,26.9%
21,Free Throws Attempted,19
13,Free Throws Made,14
61.9%,Free Throws %,73.7%
10,Offensive Rebounds,4
28,Defensive Rebounds,21
38,Total Rebounds,25
24,Assists,17
4,Blocks,1
14,Turnovers,17
14,Steals,10
20,Personal Fouls,21
