Home Score,Category,Away Score
65,Field Goals Attempted,55
25,Field Goals Made,23
38.5%,Field Goals %,41.8%
37,2-Point Field G. Attempted,34
18,2-Point Field Goals Made,17
48.6%,2-Point Field Goals %,50%
28,3-Point Field G. Attempted,21
7,3-Point Field Goals Made,6
25%,3-Point Field Goals %,28.6%
22,Free Throws Attempted,16
16,Free Throws Made,13
72.7%,Free Throws %,81.3%
15,Offensive Rebounds,4
28,Defensive Rebounds,23
43,Total Rebounds,27
15,Assists,17
2,Blocks,7
13,Turnovers,18
10,Steals,5
20,Personal Fouls,24
