Home Score,Category,Away Score
57,Field Goals Attempted,56
27,Field Goals Made,23
47.4%,Field Goals %,41.1%
41,2-Point Field G. Attempted,30
20,2-Point Field Goals Made,15
48.8%,2-Point Field Goals %,50%
16,3-Point Field G. Attempted,26
7,3-Point Field Goals Made,8
43.8%,3-Point Field Goals %,30.8%
17,Free Throws Attempted,17
14,Free Throws Made,12
82.4%,Free Throws %,70.6%
11,Offensive Rebounds,8
24,Defensive Rebounds,19
35,Total Rebounds,27
20,Assists,18
3,Blocks,3
16,Turnovers,15
8,Steals,2
19,Personal Fouls,19
