Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Robinson J.,BRE,20,1,1,17:22,8,13,5,10,3,3,1,3,1,1,-,2,1,-,-,1,-
Maric M.,MOR,17,4,1,16:59,5,5,5,5,-,-,7,8,2,1,3,3,-,-,-,-,-
Harding J.,MOR,15,1,3,25:34,6,13,4,8,2,5,1,2,-10,-,1,4,-,3,-,2,-
Perez T.,MOR,15,11,1,24:08,6,10,6,9,-,1,3,6,-5,5,6,-,2,2,2,-,-
Jogela M.,BRE,14,6,2,21:01,5,12,1,5,4,7,-,-,8,2,4,2,1,1,1,1,-
Nakic T.,BRE,13,-,3,19:13,5,5,3,3,2,2,1,1,8,-,-,3,1,1,-,-,-
Andric M.,MOR,10,1,-,14:06,3,3,1,1,2,2,2,2,6,-,1,3,-,-,-,-,-
Momirov S.,BRE,9,1,2,21:37,3,4,-,-,3,4,-,-,9,-,1,-,1,2,-,-,-
Fernandez J.,BRE,8,2,1,17:21,3,5,3,4,-,1,2,2,-3,1,1,2,-,-,-,1,-
dos Anjos F.,MOR,6,2,1,19:34,3,3,3,3,-,-,-,-,-7,1,1,-,1,-,2,-,-
Garcia S.,BRE,6,2,5,20:16,2,3,2,2,-,1,2,2,3,-,2,2,2,1,-,-,-
Montero J.,MOR,6,2,6,21:15,1,9,1,6,-,3,4,4,-9,1,1,2,2,1,-,-,-
Polite A.,BRE,6,2,2,19:26,2,5,2,3,-,2,2,2,-7,-,2,2,1,1,-,-,-
Borg T.,MOR,5,-,-,09:50,1,2,-,-,1,2,2,2,5,-,-,1,-,2,-,-,-
Okoye S.,MOR,5,1,1,17:40,2,4,1,2,1,2,-,-,-19,-,1,2,1,-,1,-,-
Sakho J.,BRE,4,5,1,15:16,1,2,1,2,-,-,2,2,7,1,4,3,-,1,1,-,-
Luz R.,MOR,3,1,3,18:03,1,5,-,3,1,2,-,-,10,-,1,1,-,-,-,-,-
McLemore B.,BRE,3,3,2,14:45,-,5,-,2,-,3,3,5,-2,1,2,2,-,1,-,2,-
Quintela S.,BRE,2,3,-,12:40,1,1,1,1,-,-,-,-,-,-,3,1,1,1,-,-,-
Sajus M.,BRE,2,3,-,03:58,1,3,1,3,-,-,-,1,1,2,1,2,-,-,-,1,-
Llovet N.,MOR,-,-,-,05:29,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,-
Madsen A.,MOR,-,-,-,03:45,-,2,-,-,-,2,-,-,1,-,-,2,-,1,-,-,-
Somogyi A.,MOR,-,-,2,06:32,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
