Home Score,Category,Away Score
60,Field Goals Attempted,66
32,Field Goals Made,31
53.3%,Field Goals %,47%
35,2-Point Field G. Attempted,43
19,2-Point Field Goals Made,22
54.3%,2-Point Field Goals %,51.2%
25,3-Point Field G. Attempted,23
13,3-Point Field Goals Made,9
52%,3-Point Field Goals %,39.1%
27,Free Throws Attempted,26
20,Free Throws Made,21
74.1%,Free Throws %,80.8%
9,Offensive Rebounds,14
24,Defensive Rebounds,20
33,Total Rebounds,34
20,Assists,19
5,Blocks,6
11,Turnovers,12
8,Steals,8
23,Personal Fouls,25
