Home Score,Category,Away Score
64,Field Goals Attempted,66
33,Field Goals Made,38
51.6%,Field Goals %,57.6%
32,2-Point Field G. Attempted,49
20,2-Point Field Goals Made,30
62.5%,2-Point Field Goals %,61.2%
32,3-Point Field G. Attempted,17
13,3-Point Field Goals Made,8
40.6%,3-Point Field Goals %,47.1%
27,Free Throws Attempted,16
25,Free Throws Made,14
92.6%,Free Throws %,87.5%
11,Offensive Rebounds,3
23,Defensive Rebounds,20
34,Total Rebounds,23
18,Assists,24
3,Blocks,0
14,Turnovers,11
5,Steals,11
19,Personal Fouls,25
