matchId,href,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
tMn0m82l,https://www.flashscore.com/match/basketball/france-dS5MsX25/poland-G6eedmug/summary/?mid=tMn0m82l,02.09. 20:30,France,Poland,83,76,27,14,19,23,,24,20,11,21,
pEHTR0zB,https://www.flashscore.com/match/basketball/italy-n5lUdjX4/spain-OKERpL3q/summary/?mid=pEHTR0zB,02.09. 20:30,Italy,Spain,67,63,10,20,19,18,,18,18,11,16,
xlELTM5b,https://www.flashscore.com/match/basketball/cyprus-YPE5m6og/georgia-E9skCSvt/summary/?mid=xlELTM5b,02.09. 17:15,Cyprus,Georgia,61,93,13,13,15,20,,15,27,26,25,
My6ThUvR,https://www.flashscore.com/match/basketball/iceland-QeebgR95/slovenia-vHfUe4nd/summary/?mid=My6ThUvR,02.09. 17:00,Iceland,Slovenia,79,87,20,15,11,33,,21,15,24,27,
EZp8onX0,https://www.flashscore.com/match/basketball/belgium-jk5QtiIB/israel-Q7cwvk2U/summary/?mid=EZp8onX0,02.09. 14:00,Belgium,Israel,89,92,15,21,18,35,,23,28,20,21,
42U19hKq,https://www.flashscore.com/match/basketball/bosnia-herzegovina-bqdHahmn/greece-ba2gXuFg/summary/?mid=42U19hKq,02.09. 14:00,Greece,Bosnia & Herzegovina,77,80,25,13,14,25,,19,25,17,19,
AslHrVbT,https://www.flashscore.com/match/basketball/czech-republic-nHbZvVnO/serbia-Qq17dU1H/summary/?mid=AslHrVbT,01.09. 20:15,Serbia,Czech Republic,82,60,27,18,16,21,,5,18,20,17,
8AiX5bdf,https://www.flashscore.com/match/basketball/finland-hrkQcWHb/lithuania-2BDVquJk/summary/?mid=8AiX5bdf,01.09. 19:30,Finland,Lithuania,78,81,21,15,12,30,,20,25,12,24,
t2d0nDa4,https://www.flashscore.com/match/basketball/latvia-IPYbeZIn/portugal-dGX2fgYh/summary/?mid=t2d0nDa4,01.09. 17:00,Portugal,Latvia,62,78,21,7,15,19,,23,27,15,13,
EBbO7KRs,https://www.flashscore.com/match/basketball/germany-bVp0e7fa/great-britain-KhcD0YXu/summary/?mid=EBbO7KRs,01.09. 15:30,Germany,Great Britain,120,57,32,26,30,32,,19,12,9,17,
