Home Score,Category,Away Score
67,Field Goals Attempted,68
38,Field Goals Made,38
56.7%,Field Goals %,55.9%
39,2-Point Field G. Attempted,46
25,2-Point Field Goals Made,32
64.1%,2-Point Field Goals %,69.6%
28,3-Point Field G. Attempted,22
13,3-Point Field Goals Made,6
46.4%,3-Point Field Goals %,27.3%
16,Free Throws Attempted,15
13,Free Throws Made,12
81.3%,Free Throws %,80%
8,Offensive Rebounds,12
20,Defensive Rebounds,21
28,Total Rebounds,33
24,Assists,25
1,Blocks,2
12,Turnovers,13
7,Steals,4
19,Personal Fouls,19
