Home Score,Category,Away Score
68,Field Goals Attempted,72
41,Field Goals Made,28
60.3%,Field Goals %,38.9%
42,2-Point Field G. Attempted,43
28,2-Point Field Goals Made,23
66.7%,2-Point Field Goals %,53.5%
26,3-Point Field G. Attempted,29
13,3-Point Field Goals Made,5
50%,3-Point Field Goals %,17.2%
23,Free Throws Attempted,24
16,Free Throws Made,19
69.6%,Free Throws %,79.2%
6,Offensive Rebounds,16
30,Defensive Rebounds,22
36,Total Rebounds,38
28,Assists,14
3,Blocks,2
4,Turnovers,10
8,Steals,4
18,Personal Fouls,17
