Home Score,Category,Away Score
60,Field Goals Attempted,73
31,Field Goals Made,35
51.7%,Field Goals %,47.9%
33,2-Point Field G. Attempted,50
25,2-Point Field Goals Made,27
75.8%,2-Point Field Goals %,54%
27,3-Point Field G. Attempted,23
6,3-Point Field Goals Made,8
22.2%,3-Point Field Goals %,34.8%
30,Free Throws Attempted,18
25,Free Throws Made,14
83.3%,Free Throws %,77.8%
9,Offensive Rebounds,13
23,Defensive Rebounds,20
32,Total Rebounds,33
17,Assists,17
5,Blocks,1
11,Turnovers,8
2,Steals,6
20,Personal Fouls,28
