Home Score,Category,Away Score
56,Field Goals Attempted,74
25,Field Goals Made,32
44.6%,Field Goals %,43.2%
22,2-Point Field G. Attempted,39
11,2-Point Field Goals Made,19
50%,2-Point Field Goals %,48.7%
34,3-Point Field G. Attempted,35
14,3-Point Field Goals Made,13
41.2%,3-Point Field Goals %,37.1%
16,Free Throws Attempted,15
15,Free Throws Made,12
93.8%,Free Throws %,80%
7,Offensive Rebounds,14
25,Defensive Rebounds,24
32,Total Rebounds,38
20,Assists,21
5,Blocks,5
15,Turnovers,9
6,Steals,12
20,Personal Fouls,18
