Home Score,Category,Away Score
15,Field Goals Attempted,20
7,Field Goals Made,12
46.7%,Field Goals %,60%
9,2-Point Field G. Attempted,14
5,2-Point Field Goals Made,8
55.6%,2-Point Field Goals %,57.1%
6,3-Point Field G. Attempted,6
2,3-Point Field Goals Made,4
33.3%,3-Point Field Goals %,66.7%
7,Free Throws Attempted,7
5,Free Throws Made,5
71.4%,Free Throws %,71.4%
-1,Offensive Rebounds,3
3,Defensive Rebounds,9
2,Total Rebounds,12
2,Assists,5
0,Blocks,0
3,Turnovers,3
0,Steals,2
7,Personal Fouls,6
