Home Score,Category,Away Score
62,Field Goals Attempted,68
25,Field Goals Made,31
40.3%,Field Goals %,45.6%
34,2-Point Field G. Attempted,38
16,2-Point Field Goals Made,20
47.1%,2-Point Field Goals %,52.6%
28,3-Point Field G. Attempted,30
9,3-Point Field Goals Made,11
32.1%,3-Point Field Goals %,36.7%
21,Free Throws Attempted,17
18,Free Throws Made,15
85.7%,Free Throws %,88.2%
11,Offensive Rebounds,9
27,Defensive Rebounds,27
38,Total Rebounds,36
12,Assists,19
3,Blocks,2
16,Turnovers,8
3,Steals,10
21,Personal Fouls,20
