Home Score,Category,Away Score
55,Field Goals Attempted,64
30,Field Goals Made,30
54.5%,Field Goals %,46.9%
37,2-Point Field G. Attempted,31
25,2-Point Field Goals Made,20
67.6%,2-Point Field Goals %,64.5%
18,3-Point Field G. Attempted,33
5,3-Point Field Goals Made,10
27.8%,3-Point Field Goals %,30.3%
28,Free Throws Attempted,17
22,Free Throws Made,16
78.6%,Free Throws %,94.1%
9,Offensive Rebounds,3
30,Defensive Rebounds,18
39,Total Rebounds,21
20,Assists,19
2,Blocks,4
15,Turnovers,8
3,Steals,8
22,Personal Fouls,25
