Home Score,Category,Away Score
63,Field Goals Attempted,63
32,Field Goals Made,31
50.8%,Field Goals %,49.2%
34,2-Point Field G. Attempted,32
21,2-Point Field Goals Made,17
61.8%,2-Point Field Goals %,53.1%
29,3-Point Field G. Attempted,31
11,3-Point Field Goals Made,14
37.9%,3-Point Field Goals %,45.2%
35,Free Throws Attempted,15
21,Free Throws Made,12
60%,Free Throws %,80%
9,Offensive Rebounds,6
24,Defensive Rebounds,31
33,Total Rebounds,37
23,Assists,18
3,Blocks,2
7,Turnovers,16
9,Steals,6
18,Personal Fouls,28
