Home Score,Category,Away Score
13,Field Goals Attempted,22
6,Field Goals Made,10
46.2%,Field Goals %,45.5%
5,2-Point Field G. Attempted,13
4,2-Point Field Goals Made,7
80%,2-Point Field Goals %,53.8%
8,3-Point Field G. Attempted,9
2,3-Point Field Goals Made,3
25%,3-Point Field Goals %,33.3%
19,Free Throws Attempted,6
9,Free Throws Made,5
47.4%,Free Throws %,83.3%
3,Offensive Rebounds,5
6,Defensive Rebounds,10
9,Total Rebounds,15
4,Assists,6
2,Blocks,1
2,Turnovers,2
2,Steals,2
6,Personal Fouls,12
