Home Score,Category,Away Score
70,Field Goals Attempted,69
24,Field Goals Made,34
34.3%,Field Goals %,49.3%
33,2-Point Field G. Attempted,46
17,2-Point Field Goals Made,25
51.5%,2-Point Field Goals %,54.3%
37,3-Point Field G. Attempted,23
7,3-Point Field Goals Made,9
18.9%,3-Point Field Goals %,39.1%
12,Free Throws Attempted,12
8,Free Throws Made,9
66.7%,Free Throws %,75%
12,Offensive Rebounds,10
27,Defensive Rebounds,36
39,Total Rebounds,46
12,Assists,20
1,Blocks,2
12,Turnovers,10
5,Steals,9
15,Personal Fouls,19
