Home Score,Category,Away Score
66,Field Goals Attempted,69
33,Field Goals Made,32
50%,Field Goals %,46.4%
37,2-Point Field G. Attempted,39
23,2-Point Field Goals Made,21
62.2%,2-Point Field Goals %,53.8%
29,3-Point Field G. Attempted,30
10,3-Point Field Goals Made,11
34.5%,3-Point Field Goals %,36.7%
23,Free Throws Attempted,17
19,Free Throws Made,14
82.6%,Free Throws %,82.4%
14,Offensive Rebounds,10
25,Defensive Rebounds,20
39,Total Rebounds,30
18,Assists,20
0,Blocks,3
21,Turnovers,16
9,Steals,11
22,Personal Fouls,24
