Home Score,Category,Away Score
23,Field Goals Attempted,21
11,Field Goals Made,6
47.8%,Field Goals %,28.6%
15,2-Point Field G. Attempted,12
9,2-Point Field Goals Made,5
60%,2-Point Field Goals %,41.7%
8,3-Point Field G. Attempted,9
2,3-Point Field Goals Made,1
25%,3-Point Field Goals %,11.1%
7,Free Throws Attempted,11
1,Free Throws Made,9
14.3%,Free Throws %,81.8%
5,Offensive Rebounds,4
10,Defensive Rebounds,9
15,Total Rebounds,13
4,Assists,5
2,Blocks,0
8,Turnovers,7
1,Steals,4
13,Personal Fouls,13
