Home Score,Category,Away Score
79,Field Goals Attempted,63
31,Field Goals Made,35
39.2%,Field Goals %,55.6%
51,2-Point Field G. Attempted,37
25,2-Point Field Goals Made,25
49%,2-Point Field Goals %,67.6%
28,3-Point Field G. Attempted,26
6,3-Point Field Goals Made,10
21.4%,3-Point Field Goals %,38.5%
26,Free Throws Attempted,22
18,Free Throws Made,16
69.2%,Free Throws %,72.7%
21,Offensive Rebounds,9
20,Defensive Rebounds,30
41,Total Rebounds,39
15,Assists,20
1,Blocks,4
12,Turnovers,16
11,Steals,8
18,Personal Fouls,20
