Home Score,Category,Away Score
68,Field Goals Attempted,61
28,Field Goals Made,20
41.2%,Field Goals %,32.8%
40,2-Point Field G. Attempted,38
20,2-Point Field Goals Made,11
50%,2-Point Field Goals %,28.9%
28,3-Point Field G. Attempted,23
8,3-Point Field Goals Made,9
28.6%,3-Point Field Goals %,39.1%
22,Free Throws Attempted,16
15,Free Throws Made,14
68.2%,Free Throws %,87.5%
16,Offensive Rebounds,12
28,Defensive Rebounds,25
44,Total Rebounds,37
16,Assists,11
0,Blocks,5
11,Turnovers,14
8,Steals,7
19,Personal Fouls,23
