Home Score,Category,Away Score
67,Field Goals Attempted,64
31,Field Goals Made,34
46.3%,Field Goals %,53.1%
41,2-Point Field G. Attempted,40
23,2-Point Field Goals Made,23
56.1%,2-Point Field Goals %,57.5%
26,3-Point Field G. Attempted,24
8,3-Point Field Goals Made,11
30.8%,3-Point Field Goals %,45.8%
12,Free Throws Attempted,13
11,Free Throws Made,9
91.7%,Free Throws %,69.2%
12,Offensive Rebounds,10
19,Defensive Rebounds,25
31,Total Rebounds,35
17,Assists,18
3,Blocks,1
16,Turnovers,18
7,Steals,11
17,Personal Fouls,18
