Home Score,Category,Away Score
71,Field Goals Attempted,56
26,Field Goals Made,22
36.6%,Field Goals %,39.3%
41,2-Point Field G. Attempted,35
16,2-Point Field Goals Made,16
39%,2-Point Field Goals %,45.7%
30,3-Point Field G. Attempted,21
10,3-Point Field Goals Made,6
33.3%,3-Point Field Goals %,28.6%
24,Free Throws Attempted,21
19,Free Throws Made,18
79.2%,Free Throws %,85.7%
16,Offensive Rebounds,12
22,Defensive Rebounds,30
38,Total Rebounds,42
16,Assists,13
3,Blocks,4
8,Turnovers,21
15,Steals,3
23,Personal Fouls,19
