Home Score,Category,Away Score
22,Field Goals Attempted,10
7,Field Goals Made,4
31.8%,Field Goals %,40%
11,2-Point Field G. Attempted,7
3,2-Point Field Goals Made,3
27.3%,2-Point Field Goals %,42.9%
11,3-Point Field G. Attempted,3
4,3-Point Field Goals Made,1
36.4%,3-Point Field Goals %,33.3%
6,Free Throws Attempted,12
5,Free Throws Made,12
83.3%,Free Throws %,100%
6,Offensive Rebounds,3
3,Defensive Rebounds,9
9,Total Rebounds,12
4,Assists,2
1,Blocks,2
1,Turnovers,7
5,Steals,1
8,Personal Fouls,3
