Home Score,Category,Away Score
19,Field Goals Attempted,18
9,Field Goals Made,8
47.4%,Field Goals %,44.4%
12,2-Point Field G. Attempted,6
7,2-Point Field Goals Made,4
58.3%,2-Point Field Goals %,66.7%
7,3-Point Field G. Attempted,12
2,3-Point Field Goals Made,4
28.6%,3-Point Field Goals %,33.3%
7,Free Throws Attempted,2
6,Free Throws Made,2
85.7%,Free Throws %,100%
4,Offensive Rebounds,2
8,Defensive Rebounds,6
12,Total Rebounds,8
3,Assists,4
0,Blocks,1
0,Turnovers,2
2,Steals,0
2,Personal Fouls,5
