g_3_4Yv5uh7G,54-41
g_3_4Yv5uh7G,54-42
g_3_4Yv5uh7G,54-43
g_3_4Yv5uh7G,57-43
g_3_4Yv5uh7G,57-44
g_3_4Yv5uh7G,59-44
g_3_4Yv5uh7G,59-46
g_3_4Yv5uh7G,62-46
g_3_4Yv5uh7G,64-46
g_3_4Yv5uh7G,64-48
g_3_4Yv5uh7G,67-48
g_3_4Yv5uh7G,69-48
g_3_4Yv5uh7G,69-49
g_3_4Yv5uh7G,71-49
g_3_4Yv5uh7G,71-52
g_3_4Yv5uh7G,71-54
g_3_4Yv5uh7G,74-54
g_3_4Yv5uh7G,74-56
g_3_4Yv5uh7G,74-59
g_3_4Yv5uh7G,74-61
g_3_4Yv5uh7G,77-61
g_3_4Yv5uh7G,77-63
g_3_4Yv5uh7G,79-63
g_3_4Yv5uh7G,79-64
g_3_4Yv5uh7G,79-66
g_3_4Yv5uh7G,81-66
g_3_4Yv5uh7G,81-68
