Home Score,Category,Away Score
73,Field Goals Attempted,72
36,Field Goals Made,36
49.3%,Field Goals %,50%
53,2-Point Field G. Attempted,44
33,2-Point Field Goals Made,23
62.3%,2-Point Field Goals %,52.3%
20,3-Point Field G. Attempted,28
3,3-Point Field Goals Made,13
15%,3-Point Field Goals %,46.4%
33,Free Throws Attempted,27
23,Free Throws Made,18
69.7%,Free Throws %,66.7%
20,Offensive Rebounds,15
22,Defensive Rebounds,24
42,Total Rebounds,39
18,Assists,23
1,Blocks,2
20,Turnovers,15
6,Steals,6
31,Personal Fouls,35
