Home Score,Category,Away Score
17,Field Goals Attempted,15
5,Field Goals Made,4
29.4%,Field Goals %,26.7%
12,2-Point Field G. Attempted,8
5,2-Point Field Goals Made,3
41.7%,2-Point Field Goals %,37.5%
5,3-Point Field G. Attempted,7
0,3-Point Field Goals Made,1
0%,3-Point Field Goals %,14.3%
6,Free Throws Attempted,13
5,Free Throws Made,10
83.3%,Free Throws %,76.9%
5,Offensive Rebounds,3
9,Defensive Rebounds,7
14,Total Rebounds,10
2,Assists,5
0,Blocks,0
5,Turnovers,2
1,Steals,1
10,Personal Fouls,7
