Home Score,Category,Away Score
58,Field Goals Attempted,74
27,Field Goals Made,28
46.6%,Field Goals %,37.8%
39,2-Point Field G. Attempted,43
22,2-Point Field Goals Made,20
56.4%,2-Point Field Goals %,46.5%
19,3-Point Field G. Attempted,31
5,3-Point Field Goals Made,8
26.3%,3-Point Field Goals %,25.8%
24,Free Throws Attempted,26
18,Free Throws Made,20
75%,Free Throws %,76.9%
10,Offensive Rebounds,17
31,Defensive Rebounds,21
41,Total Rebounds,38
12,Assists,18
1,Blocks,2
17,Turnovers,8
4,Steals,6
23,Personal Fouls,27
