Home Score,Category,Away Score
57,Field Goals Attempted,69
27,Field Goals Made,27
47.4%,Field Goals %,39.1%
29,2-Point Field G. Attempted,34
18,2-Point Field Goals Made,16
62.1%,2-Point Field Goals %,47.1%
28,3-Point Field G. Attempted,35
9,3-Point Field Goals Made,11
32.1%,3-Point Field Goals %,31.4%
20,Free Throws Attempted,11
18,Free Throws Made,6
90%,Free Throws %,54.5%
7,Offensive Rebounds,16
28,Defensive Rebounds,21
35,Total Rebounds,37
18,Assists,10
0,Blocks,1
13,Turnovers,13
10,Steals,6
20,Personal Fouls,16
