Home Score,Category,Away Score
65,Field Goals Attempted,64
33,Field Goals Made,38
50.8%,Field Goals %,59.4%
35,2-Point Field G. Attempted,47
21,2-Point Field Goals Made,32
60%,2-Point Field Goals %,68.1%
30,3-Point Field G. Attempted,17
12,3-Point Field Goals Made,6
40%,3-Point Field Goals %,35.3%
27,Free Throws Attempted,17
19,Free Throws Made,10
70.4%,Free Throws %,58.8%
13,Offensive Rebounds,9
20,Defensive Rebounds,20
33,Total Rebounds,29
20,Assists,16
1,Blocks,1
6,Turnovers,11
5,Steals,3
22,Personal Fouls,22
