Home Score,Category,Away Score
53,Field Goals Attempted,66
22,Field Goals Made,25
41.5%,Field Goals %,37.9%
29,2-Point Field G. Attempted,31
14,2-Point Field Goals Made,14
48.3%,2-Point Field Goals %,45.2%
24,3-Point Field G. Attempted,35
8,3-Point Field Goals Made,11
33.3%,3-Point Field Goals %,31.4%
26,Free Throws Attempted,10
22,Free Throws Made,6
84.6%,Free Throws %,60%
10,Offensive Rebounds,9
32,Defensive Rebounds,24
42,Total Rebounds,33
8,Assists,15
3,Blocks,3
15,Turnovers,9
4,Steals,9
20,Personal Fouls,26
