g_3_KvQXg1kQ,74-41
g_3_KvQXg1kQ,74-44
g_3_KvQXg1kQ,75-44
g_3_KvQXg1kQ,76-44
g_3_KvQXg1kQ,78-44
g_3_KvQXg1kQ,78-47
g_3_KvQXg1kQ,80-47
g_3_KvQXg1kQ,83-47
g_3_KvQXg1kQ,83-50
g_3_KvQXg1kQ,85-50
g_3_KvQXg1kQ,85-52
g_3_KvQXg1kQ,87-52
g_3_KvQXg1kQ,87-53
g_3_KvQXg1kQ,89-53
g_3_KvQXg1kQ,92-53
g_3_KvQXg1kQ,94-53
g_3_KvQXg1kQ,94-56
g_3_KvQXg1kQ,94-59
g_3_KvQXg1kQ,94-62
g_3_KvQXg1kQ,96-62
g_3_KvQXg1kQ,96-64
g_3_KvQXg1kQ,97-64
g_3_KvQXg1kQ,97-65
g_3_KvQXg1kQ,97-66
g_3_KvQXg1kQ,99-66
g_3_KvQXg1kQ,99-69
g_3_KvQXg1kQ,99-71
